pid,time,pr,contributorsize,ageAtActions,total_commit,total_nonemerge_commit,interventionTRUE,time_after_intervention,language
100060912,1,3,268,32,2053,1943,0,0,C++
100060912,2,85,268,32,2053,1943,0,0,C++
100060912,3,113,268,32,2053,1943,0,0,C++
100060912,4,89,268,32,2053,1943,0,0,C++
100060912,5,87,268,32,2053,1943,0,0,C++
100060912,6,65,268,32,2053,1943,0,0,C++
100060912,7,94,268,32,2053,1943,0,0,C++
100060912,8,76,268,32,2053,1943,0,0,C++
100060912,9,75,268,32,2053,1943,0,0,C++
100060912,10,60,268,32,2053,1943,0,0,C++
100060912,11,66,268,32,2053,1943,0,0,C++
100060912,12,96,268,32,2053,1943,0,0,C++
100060912,13,109,268,32,2053,1943,1,1,C++
100060912,14,91,268,32,2053,1943,1,2,C++
100060912,15,80,268,32,2053,1943,1,3,C++
100060912,16,80,268,32,2053,1943,1,4,C++
100060912,17,71,268,32,2053,1943,1,5,C++
100060912,18,55,268,32,2053,1943,1,6,C++
100060912,19,122,268,32,2053,1943,1,7,C++
100060912,20,82,268,32,2053,1943,1,8,C++
100060912,21,57,268,32,2053,1943,1,9,C++
100060912,22,89,268,32,2053,1943,1,10,C++
100060912,23,94,268,32,2053,1943,1,11,C++
100060912,24,21,268,32,2053,1943,1,12,C++
100624553,1,11,27,30,2676,2138,0,0,Kotlin
100624553,2,10,27,30,2676,2138,0,0,Kotlin
100624553,3,6,27,30,2676,2138,0,0,Kotlin
100624553,4,17,27,30,2676,2138,0,0,Kotlin
100624553,5,10,27,30,2676,2138,0,0,Kotlin
100624553,6,25,27,30,2676,2138,0,0,Kotlin
100624553,7,18,27,30,2676,2138,0,0,Kotlin
100624553,8,55,27,30,2676,2138,0,0,Kotlin
100624553,9,28,27,30,2676,2138,0,0,Kotlin
100624553,10,22,27,30,2676,2138,0,0,Kotlin
100624553,11,26,27,30,2676,2138,0,0,Kotlin
100624553,12,13,27,30,2676,2138,0,0,Kotlin
100624553,13,7,27,30,2676,2138,1,1,Kotlin
100624553,14,8,27,30,2676,2138,1,2,Kotlin
100624553,15,17,27,30,2676,2138,1,3,Kotlin
100624553,16,24,27,30,2676,2138,1,4,Kotlin
100624553,17,29,27,30,2676,2138,1,5,Kotlin
100624553,18,11,27,30,2676,2138,1,6,Kotlin
100624553,19,16,27,30,2676,2138,1,7,Kotlin
100624553,20,13,27,30,2676,2138,1,8,Kotlin
100624553,21,14,27,30,2676,2138,1,9,Kotlin
100624553,22,15,27,30,2676,2138,1,10,Kotlin
100624553,23,10,27,30,2676,2138,1,11,Kotlin
100624553,24,4,27,30,2676,2138,1,12,Kotlin
100982449,1,27,345,30,2234,2228,0,0,Go
100982449,2,15,345,30,2234,2228,0,0,Go
100982449,3,19,345,30,2234,2228,0,0,Go
100982449,4,16,345,30,2234,2228,0,0,Go
100982449,5,19,345,30,2234,2228,0,0,Go
100982449,6,28,345,30,2234,2228,0,0,Go
100982449,7,24,345,30,2234,2228,0,0,Go
100982449,8,34,345,30,2234,2228,0,0,Go
100982449,9,19,345,30,2234,2228,0,0,Go
100982449,10,43,345,30,2234,2228,0,0,Go
100982449,11,24,345,30,2234,2228,0,0,Go
100982449,12,54,345,30,2234,2228,0,0,Go
100982449,13,119,345,30,2234,2228,1,1,Go
100982449,14,125,345,30,2234,2228,1,2,Go
100982449,15,158,345,30,2234,2228,1,3,Go
100982449,16,124,345,30,2234,2228,1,4,Go
100982449,17,120,345,30,2234,2228,1,5,Go
100982449,18,137,345,30,2234,2228,1,6,Go
100982449,19,116,345,30,2234,2228,1,7,Go
100982449,20,119,345,30,2234,2228,1,8,Go
100982449,21,112,345,30,2234,2228,1,9,Go
100982449,22,100,345,30,2234,2228,1,10,Go
100982449,23,105,345,30,2234,2228,1,11,Go
100982449,24,68,345,30,2234,2228,1,12,Go
101394335,1,24,251,29,2273,2216,0,0,TypeScript
101394335,2,65,251,29,2273,2216,0,0,TypeScript
101394335,3,66,251,29,2273,2216,0,0,TypeScript
101394335,4,57,251,29,2273,2216,0,0,TypeScript
101394335,5,48,251,29,2273,2216,0,0,TypeScript
101394335,6,47,251,29,2273,2216,0,0,TypeScript
101394335,7,30,251,29,2273,2216,0,0,TypeScript
101394335,8,11,251,29,2273,2216,0,0,TypeScript
101394335,9,24,251,29,2273,2216,0,0,TypeScript
101394335,10,25,251,29,2273,2216,0,0,TypeScript
101394335,11,21,251,29,2273,2216,0,0,TypeScript
101394335,12,26,251,29,2273,2216,0,0,TypeScript
101394335,13,16,251,29,2273,2216,1,1,TypeScript
101394335,14,25,251,29,2273,2216,1,2,TypeScript
101394335,15,40,251,29,2273,2216,1,3,TypeScript
101394335,16,25,251,29,2273,2216,1,4,TypeScript
101394335,17,38,251,29,2273,2216,1,5,TypeScript
